iteration,CAPEX,EFFICIENCY,H2_PRICE,LIFETIME_HOURS,VOM,WACC,lcoh_$/kg,utilization_%,h2_production_kg,h2_production_tonnes,npv_$,npv_$m,payback_years,annual_cash_flow
60,881.7176711070462,47.803659725715455,4.848850211190619,72228.1586999401,5.03896140381007,0.07852299412704362,2.079335639193699,66.84741248097413,146997113.61680332,146997.1136168033,5227949315.574498,5227.9493155744985,0.17888658098355958,492892013.6206749
61,923.5435958254061,53.10389423439351,4.355121835591566,98258.36622716,4.622358032671987,0.08129717631514853,1.723403171223574,57.91856925418569,114650725.48402222,114650.72548402222,3684668686.8153677,3684.668686815368,0.2572873472268994,358954144.3757595
62,792.347266204141,47.68584319907733,4.1431512107759545,74988.47081751913,3.4837393448117138,0.06696677476202466,1.631835353562301,59.92579908675799,132102099.43654485,132102.09943654484,4679420762.264943,4679.420762264943,0.19892670469359658,398311160.5978594
63,779.5405560685044,45.0,4.401142438238731,98425.1004813868,4.32303935391553,0.07415762105487636,1.765494484851321,67.69977168949771,158146666.66666666,158146.66666666666,5224239624.954414,5224.2396249544145,0.1647438492965155,473183405.2665858
64,1065.7849296911731,51.91511496011748,4.941899219973676,68063.72229747305,4.273849422887612,0.07317762109879597,2.126902510301171,60.90372907153729,123320539.78727263,123320.53978727263,4945300597.386413,4945.300597386413,0.23821926188552564,447396621.6062442
65,1143.2642040713422,48.19688347765031,4.017810991783049,69886.69727289655,3.735174258162794,0.05918300583690721,1.7836034328951709,56.10730593607306,122373057.64251333,122373.05764251333,4630984512.769822,4630.984512769822,0.309081248507516,369891156.3195466
66,939.7385576748025,49.12307179288848,4.24572927228348,76724.18027817516,3.496840464640534,0.07397014588451788,1.7321593758074163,59.175228310502284,126630924.59337077,126630.92459337077,4329385931.49099,4329.38593149099,0.23821845086018667,394486050.21209985
67,1093.0034379496135,55.30170696108608,4.6758177635926845,79388.0007518799,4.832585558932742,0.08559515477148583,2.0165507628861863,57.24885844748858,108821234.1118993,108821.2341118993,3667208770.4823456,3667.2087704823457,0.2936288952170384,372239740.6228397
68,1001.5331335692879,48.91940261518601,4.182497607248189,88861.63800752125,4.719040417600299,0.06578992119057366,1.7065335061003317,58.45605022831051,125612735.87777713,125612.73587777713,4488309656.69225,4488.30965669225,0.2633742389384155,380269967.78658956
69,858.0704349687697,50.13359999862541,4.879324883647415,84327.39600498816,3.712007038454362,0.07192237253413578,1.9951936902607375,66.45357686453576,139339684.36720154,139339.68436720152,5318622145.066076,5318.622145066076,0.18142724891118367,472955655.84463644
70,1001.498873784949,45.0,5.519925094770607,76003.37352949733,3.9965320081555724,0.07260453234173679,2.379388640761589,77.69977168949772,181506666.66666666,181506.66666666666,7599967625.485396,7599.967625485397,0.14778875569000877,677655664.0652839
71,1169.1702107214005,48.138895746784236,5.1306715793840505,78720.16825742618,5.28382503437906,0.0664132266645156,2.2874789381876943,68.15258751902587,148823521.78754705,148823.52178754704,6239817798.587078,6239.817798587078,0.22079048928210884,529538303.26791215
72,944.894789426832,51.389342097217714,4.999639888803351,76936.99597006688,3.907554853376322,0.07852895559494891,2.1132091358206746,65.32153729071537,133619145.91180895,133619.14591180894,4973147793.551713,4973.147793551713,0.20103548122531847,470013941.65232146
73,1172.9617209534958,45.0,4.869847281438426,71219.324140873,4.615289260155317,0.061431173046187164,2.195720993427457,68.529299847793,160084444.44444445,160084.44444444444,6757635767.945505,6757.635767945505,0.21454110556346756,546730528.8060517
74,600.0,49.78731276501358,4.71104864207374,71475.55580862443,4.371899647791613,0.08679133353556878,1.8910431751065886,65.65068493150686,138613626.9810809,138613.6269810809,4457982887.453852,4457.982887453852,0.13368294116521803,448823159.31279755
