iteration,CAPEX,EFFICIENCY,H2_PRICE,LIFETIME_HOURS,VOM,WACC,lcoh_$/kg,utilization_%,h2_production_kg,h2_production_tonnes,npv_$,npv_$m,payback_years,annual_cash_flow
31,1341.7338140601578,56.11770051188994,3.950773273257797,77083.66894841816,6.184109458150617,0.06695960712656349,1.9427196423368582,25.95509893455099,48619240.90104013,48619.24090104013,1582780768.7155561,1582.7807687155562,0.9245613610872239,145121121.2722935
32,1047.8741871037755,53.98248255728476,4.795102073493494,86835.43253571782,5.929462656571193,0.0781264327987452,2.7596180181573686,47.41152968036529,92324394.20901436,92324.39420901435,2571340239.640275,2571.340239640275,0.42241522472239407,248067334.1715903
33,883.4105286894458,53.196814625443125,4.307159399998841,69873.3293110826,5.467398852658962,0.061966644140931774,2.4298591662006235,40.55270167427702,80134497.33813813,80134.49733813813,2460577640.3983703,2460.5776403983705,0.432339750108717,204332478.90514386
34,1179.5508236562523,53.92019570397703,5.232442795500789,78623.91283482444,4.680417280715179,0.05698653844019671,2.9900684905098776,50.67446727549467,98792297.2172577,98792.2972172577,3827158564.703045,3827.1585647030447,0.3912977795241656,301445826.01277095
35,857.717125129564,57.0,5.182373844608439,74365.85693580603,4.902337197914798,0.06753720831693101,2.905177645691555,49.153348554033485,90649122.80701755,90649.12280701756,3070631005.400045,3070.631005400045,0.3224249333265746,266020718.77016035
36,1082.896016213249,57.0,3.964283047535645,78842.8531547589,5.738797135101794,0.05283123647515677,1.7972627829972,26.679033485540334,49201754.385964915,49201.754385964916,1860072970.6357896,1860.0729706357897,0.7461012221760189,145140630.25590032
37,741.3519554889353,48.19820140054655,5.456737127191568,69108.91552563843,4.325747144222856,0.0581861419764439,3.0651466782465318,67.1251902587519,146399653.8244264,146399.6538244264,5451232544.581272,5451.232544581272,0.17409903586931172,425821976.4326753
38,840.8106972984972,57.0,4.092896254113269,75993.01889843438,5.607863683690056,0.07745205075144546,2.008635367787145,31.679984779299847,58424561.403508775,58424.56140350878,1634624510.2590995,1634.6245102590995,0.530083927804725,158618409.8772071
39,1081.005644649387,52.56332621421631,5.302448325609821,84970.4095417512,5.946367061850872,0.06352802240534464,2.9962028023860245,53.80993150684932,107613052.8145713,107613.0528145713,3832677593.876328,3832.677593876328,0.3376613461774917,320144919.4250254
40,1166.3084863492772,53.03631092984202,4.736683728703886,66566.93716878504,6.312806642567508,0.07895247749773546,2.84882298405922,43.297184170471844,85816677.6724106,85816.6776724106,2470901799.4223523,2470.9017994223523,0.48243551370030846,241754276.62935162
41,1076.9905042874204,45.0,4.471936526309405,63035.35407007426,4.346355413570317,0.07377259041902035,2.5848107584465105,50.9636605783866,119051111.1111111,119051.11111111111,3439161313.533208,3439.1613135332077,0.34060790725616996,316196565.41837704
42,1031.785395523852,50.30482607721616,4.021948694235581,63376.899919617324,6.5859040201580505,0.09332454118144086,2.1609333009400324,33.01940639269406,68999344.01268251,68999.34401268252,1652947280.6038172,1652.9472806038173,0.5579714456004521,184917239.7009515
43,1002.576167944687,47.683679751426816,4.05178614298143,64464.0372281983,6.8986748826984465,0.07660664979825818,2.3523485871904093,39.77739726027397,87690380.05870095,87690.38005870095,2238085786.6436057,2238.085786643606,0.46837206907276774,214055498.64010435
44,817.1327865171302,54.3784799647647,5.090090347574942,80357.90959103398,5.838375043363715,0.08403914768551937,2.820735444313928,50.78957382039574,98182222.14853156,98182.22214853155,2766146494.3671756,2766.1464943671754,0.2948864578222719,277100817.90518034
45,936.6245371778334,55.37000844164344,4.906001196340389,62347.26282721081,4.643609920324655,0.07506374675540708,2.8860038275986697,46.56487823439878,88403454.10383892,88403.45410383891,2701262657.772141,2701.2626577721408,0.3715151433733541,252109383.39505926
46,977.4493935738335,45.0,3.8976434609008948,72318.94189730822,5.229309837102801,0.07392355811358373,2.286503503237896,46.06544901065449,107608888.8888889,107608.88888888889,2575182128.1117373,2575.1821281117373,0.40927952895521785,238821960.15740216
47,1216.4967506294793,50.910097754862576,3.8624418118881683,80564.60372979638,5.460732272777232,0.08467563633062777,1.9984590216701867,31.790334855403344,65641201.7924443,65641.2017924443,1635691327.4733987,1635.6913274733986,0.7039339101232315,172814057.27655852
48,1104.1198806070327,55.57719493956055,3.690832681262564,78749.93154493734,5.723132394702709,0.07842684806990234,1.703068920300289,25.86187214611872,48915746.88064846,48915.746880648454,1338423358.5132084,1338.4233585132083,0.8157558643892382,135349303.48722586
49,772.3211755303694,50.23834983376114,5.215807188056729,71529.96918033763,5.518134780930972,0.0726468015232636,2.943812644711353,58.736681887366814,122902125.97410363,122902.12597410363,3847761241.945391,3847.7612419453912,0.2232793890660903,345899000.6918031
50,1101.0432251796801,53.974579671609646,5.167584314972156,76718.31358579596,5.731961242888059,0.07259124879071445,2.980953870985224,49.90867579908676,97201312.76463798,97201.31276463797,3150754728.6967425,3150.7547286967424,0.38252124489430833,287838450.7725581
51,989.3495408344302,52.4327551079185,3.621002849945309,75964.30796763812,5.425133925195223,0.07678168932906325,1.607450065423293,26.784627092846268,53699257.157188416,53699.25715718842,1475937247.2210317,1475.9372472210316,0.683269870944394,144796307.12634563
52,943.3847849518115,52.39397374636672,4.9229619078234546,72981.83140006632,5.718713352972601,0.06154069365480545,2.8125428585132637,49.77359208523592,99862629.72395426,99862.62972395426,3396721496.907547,3396.721496907547,0.33887777950359127,278384964.14068186
53,1146.3390154924366,49.89303488948135,3.747571150193581,73102.48753210877,5.120068177541916,0.06100612672665241,1.8930295102272248,30.480403348554034,64219384.6715767,64219.3846715767,2009867418.2453682,2009.8674182453683,0.6769378374303866,169341843.83072266
54,1212.3824247931122,46.036350319126306,5.519364846751156,95118.84691281265,5.220995958489463,0.08796011474789896,3.1525778179415904,69.82020547945206,159428363.65442124,159428.36365442123,4566109227.851484,4566.109227851484,0.2574705036931906,470882065.09193873
55,1196.6766187608014,46.424156998505886,5.527857866773488,82283.7981353817,5.024779234356749,0.09349161216463597,3.213629466172786,68.64250380517504,155429855.1987111,155429.8551987111,4303804768.571411,4303.804768571411,0.2575491162432216,464640157.27031124
56,917.8232400924344,53.8941582589777,5.146703922940157,97325.85825760929,7.081739115965859,0.058296081024031915,2.8707901770038546,51.87404870624049,101179797.14604113,101179.79714604112,3552069348.552241,3552.0693485522406,0.3258152169139642,281700544.49445736
57,1001.2990508034337,51.079389682517046,5.579112142554195,70527.33180371548,6.707718148593816,0.061570670151259735,3.2675165956614944,59.76312785388128,122990897.87578735,122990.89787578734,4586870092.704581,4586.870092704581,0.2680875529376835,373497031.0375373
58,1102.1739904460612,50.43487004200252,5.327309337802923,74235.30062800668,5.958117706761233,0.08439578752575223,3.0558750305933096,55.595509893455095,115876178.42839505,115876.17842839505,3474971806.051486,3474.971806051486,0.3149301053711263,349974159.86865246
