region,operating_hours,total_hours,utilisation_%,energy_consumed_mwh,h2_produced_kg,h2_produced_tonnes,electricity_cost_$,depreciation_cost_$,vom_cost_$,total_cost_$,lcoh_$/kg,lcoh_electricity_$/kg,lcoh_depreciation_$/kg,lcoh_vom_$/kg,avg_operating_price_$/mwh
VIC,71223,105120,67.75399543378995,7122300,145353061.2244898,145353.06122448982,192565247.0,84577312.5,32050350.0,309192909.5,2.1271853987475953,1.3248103987475954,0.5818749999999999,0.22049999999999997,27.036946913216237
QLD,56720,105120,53.95738203957382,5672000,111215686.2745098,111215.6862745098,218108449.0,79408000.0,31196000.0,328712449.0,2.955630271332863,1.961130271332863,0.714,0.2805,38.45353473201693
