region,sensitivity_type,CAPEX,H2_PRICE,EFFICIENCY,VOM,LIFETIME_HOURS,CAPACITY_MW,operating_hours,total_hours,utilisation_%,energy_consumed_mwh,h2_produced_kg,h2_produced_tonnes,electricity_cost_$,depreciation_cost_$,vom_cost_$,total_cost_$,lcoh_$/kg,lcoh_electricity_$/kg,lcoh_depreciation_$/kg,lcoh_vom_$/kg,avg_operating_price_$/mwh
VIC,H2_PRICE_only,950,3.0,49,4.5,80000,100,47985,105120,45.64783105022831,4798500,97928571.42857143,97928.57142857143,39683545.0,56982187.5,21593250.0,118258982.5,1.2076044894237783,0.40522948942377823,0.5818749999999999,0.2205,8.269989580077107
VIC,H2_PRICE_only,950,4.0,49,4.5,80000,100,59945,105120,57.025304414003045,5994500,122336734.69387755,122336.73469387754,105964778.0,71184687.5,26975250.0,204124715.5,1.6685480122612395,0.8661730122612394,0.581875,0.2205,17.677000250229373
VIC,H2_PRICE_only,950,5.0,49,4.5,80000,100,71223,105120,67.75399543378995,7122300,145353061.2244898,145353.06122448982,192565247.0,84577312.5,32050350.0,309192909.5,2.1271853987475953,1.3248103987475954,0.5818749999999999,0.22049999999999997,27.036946913216237
VIC,H2_PRICE_only,950,6.0,49,4.5,80000,100,81879,105120,77.89098173515981,8187900,167100000.0,167100.0,293730825.0,97231312.5,36845550.0,427807687.5,2.560189631956912,1.7578146319569121,0.581875,0.2205,35.873767999120645
QLD,H2_PRICE_only,1050,3.0,51,5.5,75000,100,26240,105120,24.961948249619482,2624000,51450980.39215686,51450.98039215686,25581439.0,36736000.0,14432000.0,76749439.0,1.4917002244664634,0.49720022446646345,0.714,0.2805,9.749024009146343
QLD,H2_PRICE_only,1050,4.0,51,5.5,75000,100,36188,105120,34.425418569254184,3618800,70956862.74509804,70956.86274509804,78314323.0,50663200.0,19903400.0,148880923.0,2.0981891989057146,1.1036891989057147,0.714,0.28049999999999997,21.640964684425775
QLD,H2_PRICE_only,1050,5.0,51,5.5,75000,100,53937,105120,51.30993150684932,5393700,105758823.52941176,105758.82352941176,195754983.0,75511800.0,29665350.0,300932133.0,2.845456510929418,1.8509565109294177,0.714,0.2805,36.293264920184654
QLD,H2_PRICE_only,1050,6.0,51,5.5,75000,100,70553,105120,67.11662861491628,7055300,138339215.6862745,138339.2156862745,342430773.0,98774200.0,38804150.0,480009123.0,3.4697979211373013,2.4752979211373014,0.7140000000000001,0.2805,48.53525335563335
VIC,CAPEX_H2_PRICE_grid,600,3.0,49,4.5,80000,100,49507,105120,47.095700152207,4950700,101034693.87755102,101034.69387755102,46880679.0,37130250.0,22278150.0,106289079.0,1.0520057509039127,0.4640057509039126,0.3675,0.2205,9.46950512048801
VIC,CAPEX_H2_PRICE_grid,600,4.0,49,4.5,80000,100,61492,105120,58.49695585996956,6149200,125493877.55102041,125493.87755102041,116406142.0,46119000.0,27671400.0,190196542.0,1.5155842317699864,0.9275842317699863,0.3675,0.2205,18.93029044428544
